title	slug	best	best_tokenJ	best_shingleJ	best_coverage	mit_tokenJ	mit_shingleJ	mit_coverage	folger_tokenJ	folger_shingleJ	folger_coverage
As You Like It	as-you-like-it	MIT	0.9990942028985508	0.9994407158836689	0.9913894324853229	0.9990942028985508	0.9994407158836689	0.9913894324853229	0.10190315586605637	0.0010377584417657858	0
A Midsummer Night's Dream	a-midsummer-nights-dream	MIT	0.9990105540897097	0.999278759466282	0.9956521739130435	0.9990105540897097	0.999278759466282	0.9956521739130435	0.09877175025588536	0.0005925925925925926	0.0004830917874396135
The Tempest	the-tempest	MIT	0.9990706319702602	0.9992937853107344	0.9956855225311602	0.9990706319702602	0.9992937853107344	0.9956855225311602	0.09166058837831267	0.0008252827807175106	0
King Lear	king-lear	MIT	0.6670892093170654	0.5533631354610666	0.5336940482046237	0.6670892093170654	0.5533631354610666	0.5336940482046237	0.07554671968190854	0.0008321077482777305	0
Twelfth Night	twelfth-night	MIT	0.5487046632124353	0.44442714126807564	0.4178775059775612	0.5487046632124353	0.44442714126807564	0.4178775059775612	0.08225905463474524	0.0007623050456352885	0
Romeo and Juliet	romeo-and-juliet	MIT	0.5355719977233921	0.3740434972908523	0.36407944437675155	0.5355719977233921	0.3740434972908523	0.36407944437675155	0.07105025190543858	0.0006300385182639575	0.00012184720360667723
The Tragedy of Hamlet, Prince of Denmark	hamlet	MIT	0.9993740872105153	0.9994428604201487	0.9940876108572965	0.9993740872105153	0.9994428604201487	0.9940876108572965	0.0855145213338114	0.0006742495309568481	0
Othello, the Moore of Venice	othello	MIT	0.9994771241830065	0.9995849369858879	0.9953603464274667	0.9994771241830065	0.9995849369858879	0.9953603464274667	0.08880804622298309	0.0006310615118905274	0
The Life and Death of Julius Caesar	julius-caesar	MIT	0.998972250770812	0.9993946120472202	0.9927095990279465	0.998972250770812	0.9993946120472202	0.9927095990279465	0.0991062039957939	0.000597473540457494	0
The Merchant of Venice	the-merchant-of-venice	MIT	0.6349175929474895	0.5003937665560938	0.5093743832642589	0.6349175929474895	0.5003937665560938	0.5093743832642589	0.08180300500834725	0.0008793721283003935	0.00039471087428458656
Much Ado About Nothing	much-ado-about-nothing	MIT	0.9990053050397878	0.9994331065759637	0.9929664873810509	0.9990053050397878	0.9994331065759637	0.9929664873810509	0.10428497676819824	0.0010902483343428226	0.0004137360364087712
The Tragedy of Macbeth	macbeth	MIT	0.9991126885536823	0.9993791624336833	0.987313094698686	0.9991126885536823	0.9993791624336833	0.987313094698686	0.09478896486677671	0.0005156572285767861	0
The Tragedy of Coriolanus	coriolanus	MIT	0.9995151515151515	0.9996073391875491	0.9915204678362574	0.9995151515151515	0.9996073391875491	0.9915204678362574	0.08585247883917775	0.000759133322789815	0
Cymbeline	cymbeline	MIT	0.9993074792243767	0.9996778235188831	0.9923865300146413	0.9993074792243767	0.9996778235188831	0.9923865300146413	0.0876920085553179	0.0006658211794546608	0
Titus Andronicus	titus-andronicus	MIT	0.9991316931982633	0.9994249017540496	0.9946442234123948	0.9991316931982633	0.9994249017540496	0.9946442234123948	0.09544821179749187	0.0005719888870730511	0
Timon of Athens	timon-of-athens	MIT	0.9991068770467401	0.9993699795243346	0.9926054806437582	0.9991068770467401	0.9993699795243346	0.9926054806437582	0.09554291133238502	0.0005737487863006444	0
Pericles, Prince of Tyre	pericles-prince-of-tyre	MIT	0.5697932684093627	0.42208400214018194	0.42278805642058986	0.5697932684093627	0.42208400214018194	0.42278805642058986	0.07834520381876042	0.0008464079273327828	0
Troilus and Cressida	troilus-and-cressida	None	0	0	0	0	0	0	0	0	0
All's Well That Ends Well	alls-well-that-ends-well	None	0	0	0	0	0	0	0	0	0
Two Gentlemen of Verona	two-gentlemen-of-verona	None	0	0	0	0	0	0	0	0	0
The Life and Death of Richard the Second	richard-ii	None	0	0	0	0	0	0	0	0	0
The Life and Death of Richard the Third	richard-iii	None	0	0	0	0	0	0	0	0	0
The Life of King Henry the Fifth	henry-v	None	0	0	0	0	0	0	0	0	0
The Life of King Henry the Eighth	henry-viii	None	0	0	0	0	0	0	0	0	0
The Life and Death of King John	king-john	None	0	0	0	0	0	0	0	0	0
